genre,filename,body part,count
senecaans_scaligeriaans,cost001rako01_ithys.xml,breast,2
senecaans_scaligeriaans,cost001rako01_ithys.xml,head,1
senecaans_scaligeriaans,cost001rako01_ithys.xml,hair,1
senecaans_scaligeriaans,cost001rako01_ithys.xml,hands,1
senecaans_scaligeriaans,cost001rako01_ithys.xml,arms,1
senecaans_scaligeriaans,cost001rako01_ithys.xml,face,1
senecaans_scaligeriaans,cost001rako01_polyxena.xml,heart,5
senecaans_scaligeriaans,cost001rako01_polyxena.xml,body,2
senecaans_scaligeriaans,cost001rako01_polyxena.xml,womb,1
senecaans_scaligeriaans,cost001rako01_polyxena.xml,spirit,1
senecaans_scaligeriaans,cost001rako01_polyxena.xml,soul,2
senecaans_scaligeriaans,cost001rako01_polyxena.xml,senses,1
senecaans_scaligeriaans,hoof001thes01_01.xml,heart,3
senecaans_scaligeriaans,hoof001thes01_01.xml,hands,1
senecaans_scaligeriaans,hoof001thes01_01.xml,mind,1
senecaans_scaligeriaans,hoof001thes01_01.xml,spirit,1
senecaans_scaligeriaans,hoof001thes01_01.xml,blood,1
senecaans_scaligeriaans,hoof001thes01_01.xml,body,1
senecaans_scaligeriaans,hoof001thes01_01.xml,senses,2
senecaans_scaligeriaans,cost001rako01_iphigenia.xml,varia,1
senecaans_scaligeriaans,cost001rako01_iphigenia.xml,blood,1
senecaans_scaligeriaans,cost001rako01_iphigenia.xml,body,1
gruwel_en_spektakeltoneel,bran002vein02_01.xml,breast,2
gruwel_en_spektakeltoneel,bran002vein02_01.xml,tongue,1
gruwel_en_spektakeltoneel,bran002vein02_01.xml,sweat,1
gruwel_en_spektakeltoneel,bran002vein02_01.xml,heart,3
gruwel_en_spektakeltoneel,bran002vein02_01.xml,soul,3
gruwel_en_spektakeltoneel,bran002vein02_01.xml,hands,1
gruwel_en_spektakeltoneel,bran002vein02_01.xml,body,1
gruwel_en_spektakeltoneel,bran002vein02_01.xml,eyes,2
gruwel_en_spektakeltoneel,bran002vein02_01.xml,tears,1
gruwel_en_spektakeltoneel,bran002vein02_01.xml,limbs,2
gruwel_en_spektakeltoneel,bran002vein02_01.xml,neck,1
gruwel_en_spektakeltoneel,bran002vein02_01.xml,lips,1
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,eyes,2
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,heart,7
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,hands,4
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,tears,1
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,face,2
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,blood,4
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,womb,1
